timestamp,BTC_close,BTC_low,BTC_high,BTC_volume,BTC_HLPercent
1653307200,30393.4,30290.34,30652.54,1226326.61,0.011816313
1653328800,30100.2,29989.6,30609.22,2808795.35,0.02024292
1653350400,29105.63,28888,30156.1,3754395.61,0.042051194
1653372000,29341.76,29053.84,29432.58,590120.58,0.012868053
1653393600,29298.01,29134,29427.05,789152.4,0.009958525
1653415200,29339.09,28695.15,29622.6,3544917.51,0.031308866
1653436800,29652.03,29113.33,30000,1563052.7,0.029555667
1653458400,29874.37,29562.01,30214.61,1645380.49,0.021598823
1653480000,29409.95,29365.4,29921.54,3747122.54,0.01858661
1653501600,29675.91,29351.37,29905.56,1819508.53,0.018531337
1653523200,29551.92,29541.36,30008.91,2253477.97,0.015580373
1653544800,29726.18,29521.92,29876.35,499197.11,0.01186323
1653566400,29009.62,28888,29738.62,2918768.6,0.02860321
1653588000,29638.73,28066,29764.72,8170958.99,0.057071593
1653609600,29201.98,29185.62,29671.59,1887500.8,0.016378293
1653631200,28792.34,28650,29386.26,1407871.72,0.025054566
1653652800,28927.02,28645.91,29200,1409502.73,0.018975685
1653674400,28380.87,28340.5,29366.76,1823905.41,0.034946313
1653696000,28648.96,28285.81,29036.12,1073974.18,0.025840574
1653717600,28872.93,28529.84,28947.1,590000.86,0.01441457
1653739200,28830.76,28772.63,28922.89,399672.88,0.005195193
1653760800,28879.87,28791.86,29247.95,838004.05,0.015593913
1653782400,29029.21,28879.87,29122.35,493004.66,0.008326251
1653804000,29035.56,28843.05,29055.47,245782.92,0.007310844
1653825600,29207.03,28956.34,29230.49,460807.72,0.009378905
1653847200,29219.11,29173.42,29500,461954.81,0.011070508
1653868800,29466.76,29077.8,29560.09,270040.43,0.01631558
1653890400,30449.23,29309.58,30449.23,2458969.82,0.037427876
1653912000,30660.33,30409.35,30895.7,1349882.88,0.015741673
1653933600,30704.1,30283.94,30914.73,1366442.2,0.020404189
1653955200,31718.8,30564.18,32217.38,3166734.8,0.051313918
1653976800,31653.57,31451.09,31875.31,557332.42,0.013308733
1653998400,31765.24,31435.53,31831.59,764883.89,0.012442357
1654020000,32124.87,31234.87,32402.98,2436270.77,0.036049462
1654041600,31804.66,31555,32157.81,1626367.4,0.018745369
1654063200,31606.56,31397.36,31969.33,669033.88,0.01789121
1654084800,31596.92,31446.93,31711.74,865175.34,0.008350535
1654106400,30184.5,29918,31884.27,3297214.99,0.061668967
1654128000,29789.07,29356.48,30420.83,2509704.97,0.03498754
1654149600,29873.59,29600,29891.83,547802.57,0.009762868
1654171200,30184.23,29809.38,30190,498145.16,0.012607486
1654192800,30174.6,29600.19,30388.71,1424174.41,0.025947794
1654214400,30450.95,29977.25,30674.6,658353.94,0.022733793
1654236000,30536.56,30367.63,30675.9,521219.05,0.010049257
1654257600,29749.41,29689.97,30541.79,1051801.41,0.02789031
1654279200,29510.68,29295.55,29874.54,2283454.78,0.019380717
1654300800,29699.52,29468.44,29864.94,810513.66,0.013276437
1654322400,29685.32,29483.94,29763.24,483155.52,0.009384059
1654344000,29676.81,29595.13,29797.99,450096.18,0.006807842
1654365600,29709.27,29489.25,29950.54,1027276.85,0.015401726
1654387200,29866.59,29626.37,29958.44,647528.27,0.011084356
1654408800,29784,29652.66,29887.99,129792.48,0.007873731
1654430400,29715.58,29546.74,29808.34,421201.42,0.008776067
1654452000,30013.05,29622.51,30163,808338.04,0.017918974
1654473600,29912.5,29806.95,30116.06,737867.13,0.010263959
1654495200,31166.98,29899,31339,1333928.41,0.045949137
1654516800,31400.2,31163.82,31586.6,1212876.09,0.01338479
1654538400,31336.97,31071.48,31748.46,1929829.55,0.021323239
1654560000,31370.83,31230.04,31569.91,1008803.78,0.010765631
1654581600,29489.43,29234.11,31378.78,3342182.83,0.068347782
1654603200,29520.29,29347.18,29724.62,712316.93,0.012697892
1654624800,29946.44,29410.74,30012.5,1188560.07,0.020050312
1654646400,31128.8,29933,31564.12,4864326.72,0.051676397
1654668000,30543.74,29860.04,31309.88,2371074.49,0.04630615
1654689600,30424.01,30331.71,30680.34,617995.71,0.011363303
1654711200,30383.28,30076.12,30869.04,1114975.04,0.025686578
1654732800,30213.19,29930.01,30467.42,881457.47,0.017638842
1654754400,30325.69,30063.2,30435.84,315192.45,0.01224346
1654776000,30297.45,30277.54,30691.58,1344172.05,0.013490345
1654797600,30318.99,29958.41,30445.2,1404749.19,0.015989056
1654819200,30103.37,29970.06,30341.48,721393.62,0.012241328
